model,acc,mcc,auc,sn,sp,precision,recall,f1
DeepGATModel,0.8912337662337663,0.7829670330179047,0.9526058357227188,0.9090909090909091,0.8733766233766234,0.877742946708464,0.9090909090909091,0.8931419457735247
GraphSAGEModel,0.9058441558441559,0.8130779989963276,0.9472402597402598,0.935064935064935,0.8766233766233766,0.8834355828220859,0.935064935064935,0.9085173501577287
GINModel,0.9090909090909091,0.818457951101655,0.9605013493000506,0.8961038961038961,0.922077922077922,0.92,0.8961038961038961,0.9078947368421053
CrossAttentionFusion,0.913961038961039,0.8282757667005255,0.9607227188396019,0.9285714285714286,0.8993506493506493,0.9022082018927445,0.9285714285714286,0.9152
